number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
2022-09-17 04:00:00.000,,100003.0,,2022-10-11 16:15:38.072,2022-09-17 21:38:11.527,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8002}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-17 04:00:00.000,b8839ba6-a994-4b26-b192-364cc1011262,1,
,1001.0,,bd8457d8-0aec-4ccd-9fd6-aceff91b6c7e,2023-05-12 23:31:36.309,2022-09-21 02:26:16.409,,,1201,UTC-0400,1.809,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2022-09-21 02:26:09.195,e247c848-18c1-4c4d-9ebf-ce7b4291163c,0,
,,,,2023-05-09 13:43:39.720,2022-09-17 21:39:03.654,,,LAST_SLEEP_CHECKING_TIME,,,+OWbbAvnWG,com.sec.android.app.shealth,Sleep.Goal.Temp,2023-05-09 04:00:00.000,fa49b2e0-0a00-46eb-9bb2-dd6ab579c2c2,-10000,
2022-09-24 04:00:00.000,,100003.0,,2022-10-21 22:31:39.902,2022-09-24 20:11:52.692,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":12046}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-24 04:00:00.000,83ff05a1-843e-494d-972b-a5c84850e199,1,
2022-09-20 04:00:00.000,,100003.0,,2022-10-11 16:15:37.536,2022-09-21 01:52:44.147,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8205}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-20 04:00:00.000,f775e872-a1c5-46a3-a1f2-d68ac7074aef,1,
2022-09-27 04:00:00.000,,100003.0,,2022-10-21 22:31:39.858,2022-09-28 03:43:50.882,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6155}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-27 04:00:00.000,1fe3480e-ec53-4da1-b6ed-9682bc4435a2,1,
,1001.0,,bd8457d8-0aec-4ccd-9fd6-aceff91b6c7e,2023-04-09 19:23:21.111,2022-09-21 02:26:16.414,,,1203,UTC-0400,667368,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2022-09-21 02:26:09.195,2c828797-2045-49d8-badb-c34bb953369d,0,
,1001.0,,bd8457d8-0aec-4ccd-9fd6-aceff91b6c7e,2023-04-09 19:23:21.128,2022-09-21 02:26:16.421,,,1205,UTC-0400,100.72,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2022-09-21 02:26:09.195,dac0b25d-5ae1-469b-bd50-0957121eb2d9,0,
2022-10-02 04:00:00.000,,100003.0,,2022-10-03 03:35:06.744,2022-10-03 00:41:43.124,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12377}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,fcf78ffa-2bc9-4ff2-a86d-8303bb5ea0c7,1,
2022-09-24 04:00:00.000,,100003.0,,2022-09-25 00:50:47.063,2022-09-24 21:57:45.364,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12046}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-24 04:00:00.000,fb058b87-a19c-41b9-8b22-6392e64ee49d,1,
2022-09-24 04:00:00.000,,10009.0,,2022-09-30 04:00:05.726,2022-09-25 04:04:41.867,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8205}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-24 04:00:00.000,d2a5e95d-3605-437b-811f-f0db4c560d4f,1,
2022-10-06 04:00:00.000,,10299999.0,,2022-10-12 04:00:03.885,2022-10-07 04:00:03.375,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":10565}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-06 04:00:00.000,1be2af69-fca9-4d98-b465-8feadf2354c3,1,
2022-10-01 04:00:00.000,,100003.0,,2022-10-21 22:31:39.830,2022-10-01 17:38:30.691,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8898}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-01 04:00:00.000,e0e4c682-77b8-4088-a0eb-2fe3acfce6ac,1,
2022-10-01 04:00:00.000,,10299999.0,,2022-10-07 04:00:05.124,2022-10-02 04:00:03.616,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7502}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-01 04:00:00.000,3ea40b25-bb44-4852-866e-7b08269e24fb,1,
2022-10-02 04:00:00.000,,100003.0,,2022-10-21 22:31:39.820,2022-10-21 22:31:39.820,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12377}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,34ba8021-5c63-4ed2-8a8c-e13b352ccb33,1,
2022-10-02 04:00:00.000,,10299999.0,,2022-10-08 04:00:04.267,2022-10-03 04:00:03.656,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":11084}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,49de16e3-575f-4a46-b4fb-13f7c6ca9e3f,1,
2022-10-03 04:00:00.000,,100003.0,,2022-10-30 04:59:21.103,2022-10-03 22:19:46.174,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6966}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-03 04:00:00.000,99e28e13-4ce3-477c-abc8-6e541a4d4152,1,
2022-11-09 05:00:00.000,,100003.0,,2022-11-23 22:17:22.310,2022-11-09 19:59:18.015,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6803}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-11-09 05:00:00.000,c7d8a043-ae97-4bd0-a5a9-e291566d5449,1,
2022-10-06 04:00:00.000,,100003.0,,2022-10-08 04:00:04.130,2022-10-08 04:00:04.130,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":11151}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-06 04:00:00.000,9c4a3779-79aa-4cf3-b96f-9322a07c5fad,1,
2022-10-02 04:00:00.000,,100003.0,,2022-10-09 21:03:58.284,2022-10-09 21:03:58.284,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12377}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,e68bfce2-b2b4-43f4-9847-9f9b909bf0da,1,
2022-12-12 05:00:00.000,,100003.0,,2023-01-07 18:29:02.961,2022-12-13 03:10:34.133,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6255}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-12 05:00:00.000,8689b7dd-6631-45bf-beab-0f538fd0c091,1,
2022-10-02 04:00:00.000,,100003.0,,2022-10-29 15:48:13.854,2022-10-29 15:48:13.854,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12377}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,abcd97a4-f2c3-4bbc-810e-15769a4edfd2,1,
2023-01-06 05:00:00.000,,100003.0,,2023-02-02 23:42:34.533,2023-01-07 00:19:57.828,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":10733}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-06 05:00:00.000,81838fc7-ce01-40c6-a980-1fa0944bc08a,1,
2022-11-17 05:00:00.000,,100003.0,,2022-12-11 07:18:26.064,2022-11-18 00:35:02.167,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6524}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-11-17 05:00:00.000,ac23870d-b39e-4c7e-af20-0e0945610e03,1,
2023-01-12 05:00:00.000,,100003.0,,2023-02-08 04:46:33.858,2023-01-13 01:11:19.487,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6531}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-12 05:00:00.000,64ce8b95-ad31-42e7-8960-8c3d4199f110,1,
2022-12-21 05:00:00.000,,100003.0,,2023-01-16 23:27:07.842,2022-12-21 21:51:27.957,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7685}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-21 05:00:00.000,89d41c0f-7230-437d-a094-dd637e83e0d6,1,
2023-01-21 05:00:00.000,,10009.0,,2023-02-15 20:18:24.973,2023-01-22 05:00:17.085,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":10521}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-21 05:00:00.000,93212366-c906-4f2a-8762-fad041246182,1,
2023-01-06 05:00:00.000,,10009.0,,2023-01-12 05:00:03.429,2023-01-07 05:00:02.074,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9552}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-06 05:00:00.000,0f071ab6-5413-4634-93d7-ff57e07ecc94,1,
2023-01-26 05:00:00.000,,100003.0,,2023-02-22 04:00:39.221,2023-01-26 23:16:00.514,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9106}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-26 05:00:00.000,27ecacbd-7d24-4dbc-aed8-ad1f4b0a53da,1,
2023-01-14 05:00:00.000,,100003.0,,2023-02-10 23:59:20.916,2023-01-14 20:46:11.107,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6851}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-14 05:00:00.000,68adb858-0f85-4289-a74d-a8acd082ef00,1,
2023-02-11 05:00:00.000,,10009.0,,2023-02-17 05:04:45.657,2023-02-12 05:00:01.288,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7624}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-11 05:00:00.000,95ffc9a0-1742-455f-849c-fb18b3ce5f20,1,
2023-01-21 05:00:00.000,,10009.0,,2023-01-22 05:00:17.149,2023-01-22 05:00:17.149,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":10521}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-21 05:00:00.000,5f3af60d-b418-4957-84c6-2a03d15b573b,1,
2023-02-15 05:00:00.000,,10009.0,,2023-02-21 05:00:19.630,2023-02-16 05:17:01.435,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7191}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-15 05:00:00.000,a77f956f-7c86-46a6-9cf7-014e352f2cc2,1,
,1001.0,,c2281b4d-7081-4d92-bd0c-959415439400,2023-04-09 19:23:21.111,2023-02-20 22:27:03.514,,,1203,UTC-0500,3073680,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2023-02-20 21:59:49.141,f59bcdef-26e4-498c-a62d-042b36a87082,0,
2023-01-26 05:00:00.000,,10009.0,,2023-02-15 20:18:24.981,2023-01-27 06:10:30.377,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6809}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-26 05:00:00.000,b0e35532-894b-46f3-9e41-ff7f4bd2f3b1,1,
2023-02-24 05:00:00.000,,10299999.0,,2023-03-02 05:00:04.900,2023-02-25 05:38:32.876,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":8105}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-24 05:00:00.000,b1dba692-7bbd-406d-86e0-bcbc1c32e3e4,1,
2023-02-11 05:00:00.000,,100003.0,,2023-02-13 05:00:01.651,2023-02-12 05:00:02.532,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":12080}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-11 05:00:00.000,ac4ffecc-0d89-4c62-8f2a-de9bcd2c6ef2,1,
2023-03-09 05:00:00.000,,100003.0,,2023-04-03 16:34:28.883,2023-03-10 00:54:48.976,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":7799}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-09 05:00:00.000,d2da3a33-5823-43dd-803f-0e571570a206,1,
2023-02-16 05:00:00.000,,100003.0,,2023-03-12 09:17:11.265,2023-02-17 01:55:01.724,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":7589}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-16 05:00:00.000,79773845-5e6a-4fda-bddf-df0d3d61721d,1,
,15002.0,,804fcf2b-1a45-41a6-9cdd-ef14c6031f2e,2023-05-15 20:41:38.742,2023-03-13 22:27:48.391,,,1203,UTC-0400,1813857,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2023-03-13 22:27:40.727,cfa64537-680b-4383-a5be-1aefa0091625,0,
2022-09-17 04:00:00.000,,10009.0,,2022-09-23 04:05:41.336,2022-09-17 21:38:10.978,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8002}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-17 04:00:00.000,0ae3f4e4-1089-4fa2-9e8e-e91031c1e924,1,
,15005.0,,f23cfc97-a545-4792-a2c1-d5e5ec5c3885,2023-05-09 12:50:44.316,2022-09-21 01:52:44.290,,,1203,UTC-0400,555476,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2022-09-21 01:52:36.258,12aac430-fe23-4ccb-83ed-453ed563d6d9,0,
,1001.0,,bd8457d8-0aec-4ccd-9fd6-aceff91b6c7e,2023-04-09 19:23:21.065,2022-09-21 02:26:16.404,,,1200,UTC-0400,548.65796,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2022-09-21 02:26:09.195,3cddf74c-08bf-4d40-9a3b-5e2ca69c207f,0,
2022-09-21 04:00:00.000,,10299999.0,,2022-09-27 04:33:22.923,2022-09-22 04:20:31.383,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8170}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-21 04:00:00.000,29031a36-0739-4803-b080-faad078b701c,1,
2022-09-20 04:00:00.000,,10299999.0,,2022-09-26 04:06:31.174,2022-09-21 04:00:02.921,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6687}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-20 04:00:00.000,08e883da-0284-4acf-b4dd-af0ec1c07b56,1,
2022-09-26 04:00:00.000,,100003.0,,2022-10-21 22:31:39.885,2022-09-27 01:38:22.738,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6176}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-26 04:00:00.000,a49b2292-89b3-4dfa-8812-964a96288a78,1,
,15005.0,,ddb0ff63-d6e5-4534-be83-1eab241b8b2e,2023-05-09 12:50:44.355,2022-10-02 17:44:46.112,,,1205,UTC-0400,172.449,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2022-10-02 17:44:36.747,00c60d5b-8373-4b91-b13a-42216c8295dc,0,
2022-09-24 04:00:00.000,,10299999.0,,2022-09-30 04:00:07.017,2022-09-25 04:04:43.444,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":11443}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-24 04:00:00.000,22ed2e9b-5946-471a-830d-c57583b9c97a,1,
2022-10-06 04:00:00.000,,10009.0,,2022-10-12 04:00:03.240,2022-10-07 04:00:01.879,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6992}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-06 04:00:00.000,1f3517ef-31c9-47d6-b4d3-2ba9d2279519,1,
2022-10-15 04:00:00.000,,100003.0,,2022-11-06 03:54:11.190,2022-10-15 20:15:05.270,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6552}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-15 04:00:00.000,6366e044-b1b9-46fa-b818-52087cda4ea6,1,
2022-10-02 04:00:00.000,,100003.0,,2022-10-29 15:48:13.840,2022-10-02 17:24:43.690,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":12377}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,834eb1e7-12e5-4d5b-9f92-8dbbb61ba00c,1,
2022-11-05 04:00:00.000,,100003.0,,2022-11-23 22:17:22.626,2022-11-05 23:09:39.272,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6403}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-11-05 04:00:00.000,b5487da8-54cb-4826-944d-57a150bf7808,1,
2022-10-03 04:00:00.000,,10299999.0,,2022-10-09 04:00:05.106,2022-10-04 04:00:03.484,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6424}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-03 04:00:00.000,e3cc8012-4bb0-4092-9e16-49e10d4f0b32,1,
2022-12-09 05:00:00.000,,10299999.0,,2022-12-15 05:00:04.414,2022-12-10 05:35:33.334,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8565}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-09 05:00:00.000,c334fbd7-15ac-4de5-a468-a57ee5dc049a,1,
2022-12-24 05:00:00.000,,10299999.0,,2022-12-30 05:00:04.341,2022-12-26 05:00:01.688,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6026}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-24 05:00:00.000,7ffdce03-60ad-414b-8729-5a57e4490208,1,
2022-10-02 04:00:00.000,,100003.0,,2022-10-10 13:15:33.591,2022-10-10 13:15:33.591,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":12377}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-02 04:00:00.000,fd31ea13-01b8-4560-ba7a-a2c0ee9df6ce,1,
2023-01-09 05:00:00.000,,10299999.0,,2023-01-15 05:00:10.687,2023-01-10 05:00:02.511,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6332}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-09 05:00:00.000,270dc709-ca8c-4475-99b5-7335424e2783,1,
2022-10-30 04:00:00.000,,100003.0,,2022-11-23 22:17:22.986,2022-10-30 22:17:01.738,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6440}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-10-30 04:00:00.000,47fb9680-6305-4049-8a6b-498abb5b9e27,1,
2023-01-21 05:00:00.000,,100003.0,,2023-01-22 15:35:30.526,2023-01-22 01:16:51.089,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":15487}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-21 05:00:00.000,70aae96e-e451-45eb-9f6c-fd481bfb3f57,1,
2022-12-09 05:00:00.000,,100003.0,,2023-01-05 17:47:32.786,2022-12-09 21:35:01.049,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9528}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-09 05:00:00.000,79951cfe-591a-4d9a-9014-72046f67b3e9,1,
2023-01-23 05:00:00.000,,10009.0,,2023-02-15 20:18:24.983,2023-01-24 05:00:05.044,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6568}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-23 05:00:00.000,851457aa-75d4-4a5e-b8da-811f1ef190c8,1,
2023-02-11 05:00:00.000,,100003.0,,2023-03-11 00:13:02.833,2023-02-11 21:37:51.475,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":12080}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-11 05:00:00.000,93666469-e10f-4e66-b091-a2c5fae93dd0,1,
2022-12-21 05:00:00.000,,10299999.0,,2022-12-27 05:00:04.488,2022-12-22 06:57:07.612,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7264}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-21 05:00:00.000,0fb28dbe-1a04-472f-bc2c-3fac48c23cd8,1,
,15005.0,,f23cfc97-a545-4792-a2c1-d5e5ec5c3885,2023-05-09 12:50:44.355,2022-09-21 01:52:44.299,,,1205,UTC-0400,78.384,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2022-09-21 01:52:36.258,da731731-2790-4c5d-ac96-f721fae46b13,0,
2023-02-15 05:00:00.000,,100003.0,,2023-03-12 09:17:11.338,2023-02-15 22:35:02.876,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":8841}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-15 05:00:00.000,b056f46f-e107-4c25-a1a8-0a23ad23a8af,1,
2023-03-18 04:00:00.000,,10009.0,,2023-03-24 05:29:50.595,2023-03-19 04:00:01.443,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":6522}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-18 04:00:00.000,8ba8e27f-1f73-4b92-9e20-a51c1afe2533,1,
,1001.0,,c2281b4d-7081-4d92-bd0c-959415439400,2023-04-09 19:23:21.065,2023-02-20 22:27:03.440,,,1200,UTC-0500,3478.4148,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2023-02-20 21:59:49.141,69b28b2c-2d37-45ce-9037-52f1bc383903,0,
2023-01-06 05:00:00.000,,10299999.0,,2023-01-12 05:00:04.344,2023-01-07 05:00:06.159,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6954}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-06 05:00:00.000,b3edf6ab-51a8-47c7-9da8-0171256c6a42,1,
